"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "TypeScript", "TypeScript JSX", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\scripts\reset-project.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 10, 14, 113
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\alarms.ts", "TypeScript", 0, 0, 0, 195, 0, 0, 0, 4, 34, 233
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\audio.ts", "TypeScript", 0, 0, 0, 97, 0, 0, 0, 25, 15, 137
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\auth.ts", "TypeScript", 0, 0, 0, 106, 0, 0, 0, 0, 18, 124
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\diet-daily.ts", "TypeScript", 0, 0, 0, 284, 0, 0, 0, 0, 55, 339
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\firebase.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 1, 5, 31
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\session.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 10, 71
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\sound-settings.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\user-diet-profile.ts", "TypeScript", 0, 0, 0, 199, 0, 0, 0, 6, 35, 240
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\user-profile.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 9, 80
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\user-settings.ts", "TypeScript", 0, 0, 0, 156, 0, 0, 0, 0, 26, 182
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\user-sounds.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 16, 15, 100
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\services\vibration.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 2, 13, 71
"c:\Users\Kmurt\Pictures\Nutriplan-master\Nutriplan-master\tsconfig.json", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 97, 101, 572, 3397, 3843, 14120, 1395, 150, 905, 24580
